trade_date,pnl,mktv,cash,trade_value,booksize
20191216,192240.0,1193090.0,345.4225000001625,0.0,1193435.4225
20191217,212375.00000000003,1213225.0,345.4225000001625,0.0,1213570.4225
20191218,206140.00000000003,1206990.0,345.4225000001625,0.0,1207335.4225
20191219,204310.0000000001,1205160.0,345.4225000001625,0.0,1205505.4225
20191220,202168.00000000003,1203018.0,345.4225000001625,0.0,1203363.4225
20191223,194767.00000000003,1195617.0,345.4225000001625,0.0,1195962.4225
20191224,206870.00000000003,1207720.0,345.4225000001625,0.0,1208065.4225
20191225,206356.00000000006,1207206.0,345.4225000001625,0.0,1207551.4225
20191226,212154.0,1213004.0,345.4225000001625,0.0,1213349.4225
20191227,201050.00000000006,1201900.0,345.4225000001625,0.0,1202245.4225
20191230,202202.00000000003,1203052.0,345.4225000001625,0.0,1203397.4225
20191231,210101.00000000006,1211246.0,50.27500000009604,295.0,1211296.2750000001
